P,PET,Qobs,Qsim
14.1000,0.4600,2.8080,4.00005
3.7000,0.4600,4.9510,4.56368
7.1000,0.4700,4.5190,4.234
9.3000,0.4700,4.3860,4.390
7.1000,0.4800,5.3500,4.711
1.2000,0.4800,4.6520,4.443
11.7000,0.4900,3.8880,4.199
26.2000,0.4900,6.2470,6.200
33.6000,0.5000,10.9660,11.559
51.1000,0.5000,14.8210,21.438
4.1000,0.5400,9.1720,25.176
2.7000,0.5500,7.2440,12.792
0.2000,0.5600,5.8150,8.221
0.0000,0.5600,4.8850,6.007
0.0000,0.5600,4.3200,4.805
3.6000,0.5600,3.8880,4.290
0.1000,0.5600,3.8550,4.156
16.5000,0.5600,3.6550,4.766
0.2000,0.5500,5.4170,6.629
0.0000,0.5500,3.6550,5.186
0.2000,0.4900,3.1570,4.193
0.5000,0.4800,3.0410,3.656
0.0000,0.4800,2.8740,3.273
0.0000,0.4700,2.7420,2.983
0.0000,0.4700,2.5590,2.756
0.0000,0.4700,2.4590,2.573
0.0000,0.4800,2.3430,2.423
0.0000,0.4800,2.2600,2.297
0.0000,0.4900,2.1600,2.189
3.6000,0.4900,2.0770,2.234
0.0000,0.5000,2.1270,2.428
0.0000,0.5300,2.0440,2.259
0.0000,0.5400,1.9110,2.119
0.0000,0.5500,1.7780,2.027
0.0000,0.5700,1.6780,1.945
0.0000,0.5800,1.6250,1.873
0.0000,0.5900,1.5590,1.809
3.6000,0.6000,1.4460,1.862
1.9000,0.6100,1.3760,2.089
5.6000,0.6300,1.3760,2.268
1.0000,0.6400,1.3760,2.562
0.0000,0.6400,1.3760,2.355
5.8000,0.6600,1.3820,2.382
0.0000,0.6700,1.8110,2.701
0.0000,0.6900,1.7940,2.440
11.3000,0.7100,3.1740,2.704
10.2000,0.7300,4.8180,4.118
0.0000,0.7500,3.7880,4.646
0.0000,0.7700,2.6580,3.783
0.0000,0.8000,2.2430,3.221
0.0000,0.8200,2.0770,2.880
6.0000,0.8700,2.2600,2.866
6.0000,0.8900,2.6750,3.399
0.0000,0.9100,2.9410,3.541
0.2000,0.9400,2.2260,3.050
0.0000,0.9600,2.0270,2.708
0.0000,0.9900,1.9610,2.481
0.0000,1.0100,1.9440,2.297
0.0000,1.0300,1.9110,2.146
0.0000,1.0500,1.7940,2.018
0.6000,1.0800,1.7610,1.909
0.0000,1.1000,1.7940,1.815
1.0000,1.1200,1.7110,1.734
0.9000,1.1400,1.6950,1.662
2.1000,1.1700,1.7450,1.629
10.0000,1.1900,1.7610,1.928
13.8000,1.2100,3.4890,3.050
0.4000,1.2300,3.7550,3.916
4.2000,1.2500,2.4260,3.392
0.6000,1.2600,2.4260,3.197
0.0000,1.2800,2.2430,2.824
0.0000,1.3100,2.0440,2.533
0.0000,1.3300,1.8440,2.323
1.4000,1.3500,1.8280,2.155
18.6000,1.3800,2.9080,2.724
0.4000,1.4100,4.1540,4.188
6.5000,1.4300,3.0070,3.738
0.1000,1.4600,3.3560,3.660
3.7000,1.4900,2.8740,3.264
0.0000,1.5400,3.1070,3.072
0.9000,1.5700,2.9410,2.730
0.0000,1.6000,2.6250,2.462
0.0000,1.6200,2.4920,2.263
0.0000,1.6500,2.3100,2.100
0.0000,1.6700,2.1600,1.962
0.0000,1.7000,2.1270,1.844
0.0000,1.7200,1.9770,1.742
0.0000,1.7400,1.8780,1.652
0.0000,1.7600,1.7450,1.572
0.0000,1.7800,1.6620,1.500
0.0000,1.7600,1.6220,1.435
4.0000,1.7800,1.6780,1.433
5.2000,1.8000,2.0100,1.589
9.9000,1.8300,2.4920,1.926
0.4000,1.8600,2.7580,2.293
6.0000,1.8900,2.1600,2.152
0.0000,1.9200,2.3100,2.222
0.0000,1.9500,1.8110,2.011
0.0000,1.9900,1.6450,1.839
0.0000,2.0200,1.5290,1.721
0.0000,2.0900,1.4320,1.619
1.2000,2.1300,1.4090,1.530
0.0000,2.1700,1.3860,1.452
0.0000,2.2000,1.3520,1.382
0.0000,2.2400,1.2990,1.318
0.0000,2.2800,1.2430,1.261
0.0000,2.3200,1.1700,1.208
0.9000,2.3500,1.1230,1.159
3.0000,2.3900,1.2430,1.127
0.0000,2.4300,1.4020,1.111
0.0000,2.5000,1.3290,1.065
0.0000,2.5300,1.2330,1.023
0.0000,2.5700,1.1460,0.988
3.4000,2.6000,1.0970,0.968
0.3000,2.6300,1.2100,0.965
2.5000,2.6500,1.3030,0.926
0.0000,2.6800,1.4520,0.894
0.0000,2.7000,1.2160,0.867
3.3000,2.7200,1.1660,0.849
14.0000,2.7300,1.3230,1.009
1.4000,2.6900,2.3760,1.365
0.0000,2.7100,3.0240,1.198
9.1000,2.7200,3.6890,1.193
1.8000,2.7400,4.1540,1.384
0.0000,2.7600,4.3530,1.258
2.0000,2.7900,3.8550,1.162
3.3000,2.8100,3.9210,1.118
0.0000,2.8300,4.4530,1.088
0.0000,2.8600,3.9540,1.039
0.0000,2.8900,3.7550,0.994
0.0000,2.9600,3.6890,0.955
0.7000,2.9900,3.6550,0.919
0.0000,3.0200,2.1270,0.886
1.0000,3.0400,0.9010,0.855
0.0000,3.0600,0.9040,0.826
0.0000,3.0900,0.8310,0.799
0.0000,3.1100,0.8310,0.773
0.0000,3.1300,0.8310,0.748
0.3000,3.1500,0.8310,0.725
0.0000,3.1600,0.8310,0.703
0.0000,3.1400,0.8310,0.683
0.0000,3.1500,0.7840,0.663
0.0000,3.1700,0.7310,0.644
0.0000,3.1900,0.7110,0.626
0.0000,3.2000,0.6950,0.609
0.0000,3.2200,0.6110,0.593
0.0000,3.2400,0.5680,0.578
0.0000,3.2600,0.5820,0.563
0.0000,3.2900,0.5680,0.549
0.0000,3.3100,0.5550,0.536
0.0000,3.3300,0.5650,0.523
0.0000,3.4300,0.5850,0.511
0.0000,3.4500,0.5720,0.499
0.0000,3.4700,0.5550,0.488
5.8000,3.4800,0.5150,0.489
1.2000,3.4900,0.5080,0.505
6.5000,3.5000,0.5750,0.497
0.2000,3.5000,0.6480,0.515
0.3000,3.5000,0.9010,0.489
5.4000,3.4900,0.5880,0.480
0.0000,3.4900,0.5150,0.491
0.3000,3.3800,0.4950,0.471
0.0000,3.3700,0.4820,0.457
2.1000,3.3600,0.4650,0.447
0.0000,3.3600,0.4520,0.438
0.2000,3.3600,0.4350,0.430
0.4000,3.3600,0.4250,0.421
0.3000,3.3600,0.4250,0.413
0.2000,3.3700,0.4720,0.405
6.5000,3.3800,0.4550,0.409
4.2000,3.3900,0.6480,0.431
2.7000,3.4600,0.9270,0.417
0.1000,3.4700,0.8210,0.401
1.2000,3.4800,0.5220,0.392
0.3000,3.5000,0.4850,0.385
2.8000,3.5100,0.5080,0.378
11.8000,3.5200,0.5280,0.401
0.2000,3.5300,0.5420,0.462
0.0000,3.5500,0.5050,0.421
0.0000,3.5600,0.4450,0.397
0.0000,3.5700,0.3820,0.390
0.0000,3.6200,0.3890,0.383
8.8000,3.6300,0.4420,0.393
0.2000,3.6300,0.5020,0.426
0.0000,3.6400,0.4550,0.400
7.2000,3.6300,0.4720,0.395
8.5000,3.6300,0.5120,0.433
5.4000,3.6200,1.1530,0.459
0.6000,3.6100,1.2530,0.441
0.0000,3.6000,0.9940,0.416
0.0000,3.5800,0.6280,0.404
0.2000,3.4700,0.4650,0.397
0.0000,3.4500,0.4490,0.390
7.3000,3.4400,0.4150,0.395
0.0000,3.4300,0.5950,0.418
1.1000,3.4200,0.4880,0.396
0.0000,3.4200,0.4690,0.382
0.0000,3.4200,0.4150,0.376
1.3000,3.4200,0.3850,0.369
0.0000,3.4200,0.4250,0.363
0.0000,3.4300,0.4090,0.357
0.0000,3.5800,0.3820,0.351
0.0000,3.5900,0.3460,0.346
1.0000,3.5900,0.3490,0.340
3.0000,3.5900,0.3590,0.335
0.0000,3.5900,0.3920,0.330
0.0000,3.5800,0.3920,0.325
0.0000,3.5700,0.3590,0.321
0.0000,3.5500,0.3490,0.316
0.2000,3.5300,0.3160,0.312
1.0000,3.5100,0.3090,0.307
0.0000,3.4800,0.3140,0.303
0.0000,3.3400,0.3320,0.299
0.0000,3.3100,0.3290,0.295
3.0000,3.2800,0.3040,0.291
0.0000,3.2500,0.2890,0.288
0.0000,3.2300,0.3010,0.284
0.0000,3.2100,0.3040,0.281
3.0000,3.1900,0.3120,0.277
0.0000,3.1700,0.3320,0.274
0.0000,3.1500,0.3210,0.271
0.0000,3.1300,0.3090,0.267
0.2000,3.1500,0.3090,0.264
0.0000,3.1400,0.3090,0.261
0.0000,3.1200,0.3090,0.259
0.0000,3.1100,0.3090,0.256
0.1000,3.1000,0.3090,0.253
0.0000,3.0800,0.3190,0.250
0.0000,3.0700,0.3090,0.248
0.0000,3.0600,0.3090,0.245
0.0000,3.0400,0.2910,0.243
0.0000,3.0300,0.2860,0.240
0.0000,3.0600,0.2860,0.238
3.5000,3.0500,0.2870,0.236
1.5000,3.0300,0.2940,0.234
0.0000,3.0100,0.3020,0.232
0.0000,2.9800,0.3090,0.229
